,text,date
98,"Fifa the best in 2019 but he didn't win on vote bases, I did not Messi deserve it but you can't say he rigged the award cause he got the votes, he didn't force anyone to vote for him period","Jan 18, 2024 · 5:28 PM UTC"
99,"MÀQUINAITANA  🎂Aitana Bonmatí fête ses 26 ans !  📊251 matchs-87 buts au FC Barcelone  🏆2C1, 4 Ligas, 5 Copas, 3 Supercopas, 4 Coupes de Catalogne  🇪🇸Championne du Monde avec la Roja  🌟Ballon d'Or, MVP C1 2023, MVP Mondial 2023, Joueuse UEFA, FIFA The Best  Per molts anys🔵🔴","Jan 18, 2024 · 9:19 AM UTC"
100,- fracasó en el psg ❌  - eliminado de la copa de francia ❌  - fantasma contra el bayern en la ucl ❌  - perdimos la final de la copa abierta ❌  - 1 gol en la mls en todo el año ❌  - no ha jugado un partido desde agosto ❌  Resultado: Ganador del FIFA THE BEST 😅 MARKETING 🤷‍♂️,"Jan 16, 2024 · 7:32 AM UTC"
101,Unbreakable record: Messi winning FIFA the best twice in 1 years ☠️☠️☠️,"Jan 18, 2024 · 1:54 PM UTC"
102,"If everyone's entitled to their opinion, then why are you asking; why  Messi won Fifa the best ?   Ain't the players Who voted,  entitled to vote their opinion?","Jan 18, 2024 · 5:21 PM UTC"
103,"En este día en el 2022  @Cristiano  Ronaldo recibió un premio especial de la FIFA ""The  Best"" como el jugador más registrado en goles internacionales en la  historia 👑 🐐  Merecidamente sin favores, ni favoritismo   #Ronaldo𓃵 #CR7𓃵 #GOAT𓃵 #Bicho #CristianoRonaldo #ALNASSR","Jan 17, 2024 · 4:23 PM UTC"
104,"🌟 #FIFATheBest 2023: An Epic Showcase of Talent 🏆⚽ Dive into our thread to discover how Messi, Haaland, and Mbappé have captivated the world this season.  Data 👉🏽https://docsend.com/view/mhbgkmy6auqv4cy6 #messi - #TheBest  Another year, another triumph! 🐐 Messi retains the prestigious title","Jan 18, 2024 · 5:19 PM UTC"
105,Acaban de detener a Messi por el robo a Haaland en el FIFA The Best 🤣🤣🤣,"Jan 16, 2024 · 12:48 AM UTC"
106,WHY IS MESSI WINNING THE FIFA THE BEST AWARDS THIS YEAR??,"Jan 18, 2024 · 11:43 AM UTC"
107,They Said Messi Has Robbed More Trophies Than He Has Scored Goals In the last 5 Months 😂😂.  Opinions?  #Messi #MLS #FIFATheBest,"Jan 17, 2024 · 6:33 PM UTC"
